benchmark,run,result
quadratic,baseline,723
quadratic,ssa,1847
quadratic,roundtrip,679
montgomery,baseline,17
montgomery,ssa,20
montgomery,roundtrip,17
primes-between,baseline,574100
primes-between,ssa,1421315
primes-between,roundtrip,1026415
mod_pow,baseline,200
mod_pow,ssa,507
mod_pow,roundtrip,253
orders,baseline,5352
orders,ssa,11619
orders,roundtrip,6778
sum-check,baseline,5018
sum-check,ssa,11024
sum-check,roundtrip,7019
palindrome,baseline,298
palindrome,ssa,727
palindrome,roundtrip,414
rot13,baseline,8
rot13,ssa,10
rot13,roundtrip,9
totient,baseline,253
totient,ssa,845
totient,roundtrip,456
fib_recursive,baseline,2253
fib_recursive,ssa,2253
fib_recursive,roundtrip,2253
relative-primes,baseline,1647
relative-primes,ssa,3004
relative-primes,roundtrip,1733
hanoi,baseline,99
hanoi,ssa,203
hanoi,roundtrip,99
is-decreasing,baseline,120
is-decreasing,ssa,246
is-decreasing,roundtrip,127
check-primes,baseline,6227
check-primes,ssa,16383
check-primes,roundtrip,6013
sum-sq-diff,baseline,2526
sum-sq-diff,ssa,6381
sum-sq-diff,roundtrip,2324
fitsinside,baseline,10
fitsinside,ssa,10
fitsinside,roundtrip,10
hamming,baseline,117
hamming,ssa,190
hamming,roundtrip,131
fact,baseline,208
fact,ssa,208
fact,roundtrip,208
loopfact,baseline,107
loopfact,ssa,276
loopfact,roundtrip,97
recfact,baseline,79
recfact,ssa,79
recfact,roundtrip,79
geometric-sum,baseline,35
geometric-sum,ssa,71
geometric-sum,roundtrip,46
factors,baseline,72
factors,ssa,189
factors,roundtrip,88
perfect,baseline,232
perfect,ssa,729
perfect,roundtrip,350
binpow,baseline,105
binpow,ssa,105
binpow,roundtrip,105
bitshift,baseline,135
bitshift,ssa,177
bitshift,roundtrip,131
digital-root,baseline,247
digital-root,ssa,488
digital-root,roundtrip,327
up-arrow,baseline,252
up-arrow,ssa,700
up-arrow,roundtrip,403
mccarthy91,baseline,1385
mccarthy91,ssa,1385
mccarthy91,roundtrip,1385
sum-divisors,baseline,159
sum-divisors,ssa,444
sum-divisors,roundtrip,261
permutation,baseline,119
permutation,ssa,299
permutation,roundtrip,112
combination,baseline,178
combination,ssa,184
combination,roundtrip,178
ackermann,baseline,1464231
ackermann,ssa,1464231
ackermann,roundtrip,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,ssa,155534
pythagorean_triple,roundtrip,69393
gebmm,baseline,3011
gebmm,ssa,5799
gebmm,roundtrip,4060
euclid,baseline,394
euclid,ssa,783
euclid,roundtrip,355
bbs,baseline,137
bbs,ssa,225
bbs,roundtrip,151
binary-fmt,baseline,100
binary-fmt,ssa,205
binary-fmt,roundtrip,100
lcm,baseline,2326
lcm,ssa,4399
lcm,roundtrip,2456
gcd,baseline,46
gcd,ssa,109
gcd,roundtrip,61
catalan,baseline,659378
catalan,ssa,1427008
catalan,roundtrip,738109
armstrong,baseline,130
armstrong,ssa,243
armstrong,roundtrip,157
pascals-row,baseline,101
pascals-row,ssa,272
pascals-row,roundtrip,85
collatz,baseline,169
collatz,ssa,378
collatz,roundtrip,204
sum-bits,baseline,73
sum-bits,ssa,131
sum-bits,roundtrip,87
sqrt_bin_search,baseline,516
sqrt_bin_search,ssa,891
sqrt_bin_search,roundtrip,516
rectangles-area-difference,baseline,14
rectangles-area-difference,ssa,21
rectangles-area-difference,roundtrip,16
mod_inv,baseline,470
mod_inv,ssa,1310
mod_inv,roundtrip,626
karatsuba,baseline,1548
karatsuba,ssa,4439
karatsuba,roundtrip,1611
reverse,baseline,46
reverse,ssa,131
reverse,roundtrip,52
fizz-buzz,baseline,2452
fizz-buzz,ssa,11366
fizz-buzz,roundtrip,5241
bitwise-ops,baseline,1689
bitwise-ops,ssa,3121
bitwise-ops,roundtrip,2143
sum-digits,baseline,158
sum-digits,ssa,424
sum-digits,roundtrip,138
delannoy,baseline,4552973
delannoy,ssa,4552973
delannoy,roundtrip,4552973
cholesky,baseline,3458
cholesky,ssa,11402
cholesky,roundtrip,5917
mat-inv,baseline,1038
mat-inv,ssa,2004
mat-inv,roundtrip,1062
random_walk,baseline,508482
random_walk,ssa,1111999
random_walk,roundtrip,587038
dead-branch,baseline,1196
dead-branch,ssa,3102
dead-branch,roundtrip,1197
ray-sphere-intersection,baseline,70
ray-sphere-intersection,ssa,70
ray-sphere-intersection,roundtrip,70
birthday,baseline,347
birthday,ssa,910
birthday,roundtrip,324
conjugate-gradient,baseline,1960
conjugate-gradient,ssa,5738
conjugate-gradient,roundtrip,2819
leibniz,baseline,12499997
leibniz,ssa,38499997
leibniz,roundtrip,21499996
n_root,baseline,733
n_root,ssa,1695
n_root,roundtrip,975
newton,baseline,217
newton,ssa,322
newton,roundtrip,242
euler,baseline,1732
euler,ssa,2160
euler,roundtrip,1713
riemann,baseline,298
riemann,ssa,668
riemann,roundtrip,348
mandelbrot,baseline,1797351
mandelbrot,ssa,2177164
mandelbrot,roundtrip,1847512
logistic,baseline,1110
logistic,ssa,1513
logistic,roundtrip,1110
norm,baseline,505
norm,ssa,1183
norm,roundtrip,639
cordic,baseline,481
cordic,ssa,6634
cordic,roundtrip,3399
exponentiation-by-squaring,baseline,187
exponentiation-by-squaring,ssa,578
exponentiation-by-squaring,roundtrip,315
pow,baseline,30
pow,ssa,89
pow,roundtrip,28
ray-bbox-intersection,baseline,33
ray-bbox-intersection,ssa,74
ray-bbox-intersection,roundtrip,41
sqrt,baseline,266
sqrt,ssa,855
sqrt,roundtrip,326
quickselect,baseline,279
quickselect,ssa,660
quickselect,roundtrip,416
1dconv,baseline,391
1dconv,ssa,1096
1dconv,roundtrip,663
sieve,baseline,3455
sieve,ssa,7521
sieve,roundtrip,3944
bubblesort,baseline,253
bubblesort,ssa,423
bubblesort,roundtrip,282
primitive-root,baseline,11024
primitive-root,ssa,13976
primitive-root,roundtrip,11664
adler32,baseline,6851
adler32,ssa,16922
adler32,roundtrip,10105
fnv1-hash,baseline,1768440
fnv1-hash,ssa,3287028
fnv1-hash,roundtrip,2277346
adj2csr,baseline,56629
adj2csr,ssa,116437
adj2csr,roundtrip,73582
char-poly,baseline,379
char-poly,ssa,551
char-poly,roundtrip,387
csrmv,baseline,120652
csrmv,ssa,248379
csrmv,roundtrip,160740
dot-product,baseline,88
dot-product,ssa,181
dot-product,roundtrip,99
shufflesort,baseline,36564
shufflesort,ssa,74149
shufflesort,roundtrip,48306
major-elm,baseline,45
major-elm,ssa,96
major-elm,roundtrip,56
cordic,baseline,852
cordic,ssa,2431
cordic,roundtrip,960
max-subarray,baseline,193
max-subarray,ssa,350
max-subarray,roundtrip,225
mat-mul,baseline,1990407
mat-mul,ssa,5251323
mat-mul,roundtrip,3444442
fib,baseline,121
fib,ssa,307
fib,roundtrip,148
vsmul,baseline,86036
vsmul,ssa,118827
vsmul,roundtrip,90133
quicksort-hoare,baseline,27333
quicksort-hoare,ssa,52169
quicksort-hoare,roundtrip,31774
2dconvol,baseline,21709
2dconvol,ssa,68458
2dconvol,roundtrip,42833
quicksort,baseline,264
quicksort,ssa,650
quicksort,roundtrip,338
two-sum,baseline,69
two-sum,ssa,181
two-sum,roundtrip,106
eight-queens,baseline,959701
eight-queens,ssa,2687564
eight-queens,roundtrip,1081672
sorting-network-five,baseline,208
sorting-network-five,ssa,427
sorting-network-five,roundtrip,214
connected-components,baseline,1978
connected-components,ssa,6393
connected-components,roundtrip,3778
binary-search,baseline,74
binary-search,ssa,74
binary-search,roundtrip,74
