benchmark,run,result
quadratic,baseline,5
quadratic,ssa,4
quadratic,roundtrip,4
montgomery,baseline,1
montgomery,ssa,5
montgomery,roundtrip,1
primes-between,baseline,5
primes-between,ssa,8
primes-between,roundtrip,8
birthday,baseline,5
birthday,ssa,1
birthday,roundtrip,4
mod_pow,baseline,7
mod_pow,ssa,7
mod_pow,roundtrip,6
orders,baseline,3
orders,ssa,4
orders,roundtrip,3
sum-check,baseline,0
sum-check,ssa,9
sum-check,roundtrip,3
palindrome,baseline,6
palindrome,ssa,8
palindrome,roundtrip,2
totient,baseline,8
totient,ssa,0
totient,roundtrip,8
fib_recursive,baseline,2
fib_recursive,ssa,2
fib_recursive,roundtrip,2
relative-primes,baseline,8
relative-primes,ssa,4
relative-primes,roundtrip,2
hanoi,baseline,9
hanoi,ssa,7
hanoi,roundtrip,9
is-decreasing,baseline,1
is-decreasing,ssa,3
is-decreasing,roundtrip,3
check-primes,baseline,5
check-primes,ssa,7
check-primes,roundtrip,3
sum-sq-diff,baseline,5
sum-sq-diff,ssa,7
sum-sq-diff,roundtrip,3
fitsinside,baseline,4
fitsinside,ssa,4
fitsinside,roundtrip,4
hamming,baseline,9
hamming,ssa,3
hamming,roundtrip,4
fact,baseline,0
fact,ssa,0
fact,roundtrip,0
loopfact,baseline,4
loopfact,ssa,7
loopfact,roundtrip,2
recfact,baseline,2
recfact,ssa,2
recfact,roundtrip,2
geometric-sum,baseline,8
geometric-sum,ssa,7
geometric-sum,roundtrip,1
factors,baseline,2
factors,ssa,5
factors,roundtrip,8
perfect,baseline,2
perfect,ssa,4
perfect,roundtrip,4
binpow,baseline,4
binpow,ssa,4
binpow,roundtrip,4
bitshift,baseline,7
bitshift,ssa,3
bitshift,roundtrip,6
digital-root,baseline,8
digital-root,ssa,5
digital-root,roundtrip,3
up-arrow,baseline,6
up-arrow,ssa,9
up-arrow,roundtrip,6
char-poly,baseline,2
char-poly,ssa,0
char-poly,roundtrip,5
mccarthy91,baseline,9
mccarthy91,ssa,9
mccarthy91,roundtrip,9
sum-divisors,baseline,8
sum-divisors,ssa,8
sum-divisors,roundtrip,5
permutation,baseline,6
permutation,ssa,1
permutation,roundtrip,6
combination,baseline,2
combination,ssa,0
combination,roundtrip,2
ackermann,baseline,6
ackermann,ssa,6
ackermann,roundtrip,6
pythagorean_triple,baseline,4
pythagorean_triple,ssa,8
pythagorean_triple,roundtrip,7
euclid,baseline,0
euclid,ssa,6
euclid,roundtrip,0
bbs,baseline,2
bbs,ssa,4
bbs,roundtrip,6
binary-fmt,baseline,1
binary-fmt,ssa,3
binary-fmt,roundtrip,1
lcm,baseline,2
lcm,ssa,6
lcm,roundtrip,6
gcd,baseline,7
gcd,ssa,3
gcd,roundtrip,5
catalan,baseline,9
catalan,ssa,4
catalan,roundtrip,2
armstrong,baseline,3
armstrong,ssa,8
armstrong,roundtrip,8
pascals-row,baseline,2
pascals-row,ssa,4
pascals-row,roundtrip,9
collatz,baseline,5
collatz,ssa,4
collatz,roundtrip,2
sum-bits,baseline,3
sum-bits,ssa,7
sum-bits,roundtrip,7
sqrt_bin_search,baseline,5
sqrt_bin_search,ssa,9
sqrt_bin_search,roundtrip,5
rectangles-area-difference,baseline,7
rectangles-area-difference,ssa,4
rectangles-area-difference,roundtrip,9
mod_inv,baseline,4
mod_inv,ssa,5
mod_inv,roundtrip,0
karatsuba,baseline,8
karatsuba,ssa,5
karatsuba,roundtrip,1
reverse,baseline,8
reverse,ssa,3
reverse,roundtrip,4
fizz-buzz,baseline,6
fizz-buzz,ssa,1
fizz-buzz,roundtrip,5
bitwise-ops,baseline,6
bitwise-ops,ssa,4
bitwise-ops,roundtrip,0
sum-digits,baseline,4
sum-digits,ssa,0
sum-digits,roundtrip,3
delannoy,baseline,4
delannoy,ssa,4
delannoy,roundtrip,4
cholesky,baseline,9
cholesky,ssa,8
cholesky,roundtrip,7
mat-inv,baseline,5
mat-inv,ssa,7
mat-inv,roundtrip,1
gol,baseline,8
gol,ssa,0
gol,roundtrip,0
dead-branch,baseline,5
dead-branch,ssa,1
dead-branch,roundtrip,7
function_call,baseline,2
